RK,Name,First Name,Last name,REC,YDS,AVG,LNG,TD
378,Mason Taylor,Mason,Taylor,36,348,9.7,25,1
378,Javon Tracy,Javon,Tracy,22,348,15.8,52,2
380,Stephen Gosnell,Stephen,Gosnell,22,347,15.8,44,3
380,Ja'Varrius Johnson,Ja'Varrius,Johnson,19,347,18.3,45,3
380,Charles Ross,Charles,Ross,26,347,13.3,35,1
380,DJ England-Chisolm,DJ,England-Chisolm,28,347,12.4,72,3
384,Moose Muhammad,Moose,Muhammad,27,345,12.8,49,2
384,Joseph Griffin,Joseph,Griffin,25,345,13.8,38,1
386,Joe Wilkins,Joe,Wilkins,25,343,13.7,49,1
386,Eric Rivers,Eric,Rivers,32,343,10.7,48,2
388,Quinton Lane,Quinton,Lane,30,342,11.4,30,1
388,Senika McKie,Senika,McKie,23,342,14.9,50,1
390,Theo Johnson,Theo,Johnson,34,341,10,34,7
390,Jsi Hatfield,Jsi,Hatfield,27,341,12.6,39,1
392,Al'vonte Woodard,Al'vonte,Woodard,31,339,10.9,26,2
392,Wesley Grimes,Wesley,Grimes,20,339,17,49,4
394,Dominick Blaylock,Dominick,Blaylock,21,337,16,53,2
394,Troy Stellato,Troy,Stellato,39,337,8.6,18,1
396,D.J. Washington,D.J.,Washington,29,336,11.6,35,3
397,Ollie Gordon,Ollie,Gordon,39,330,8.5,50,1
398,Abdur-Rahmaan Yaseen,Abdur-Rahmaan,Yaseen,25,329,13.2,30,0
399,Chimere Dike,Chimere,Dike,19,328,17.3,41,1
400,Amari Niblack,Amari,Niblack,20,327,16.4,39,4
401,Jimmy Holiday,Jimmy,Holiday,20,326,16.3,39,2
401,Gavin Bartholomew,Gavin,Bartholomew,18,326,18.1,60,1
403,Xavier Townsend,Xavier,Townsend,33,325,9.8,37,3
404,Jay Fair,Jay,Fair,31,324,10.5,36,2
405,Noah Frith,Noah,Frith,17,323,19,55,3
405,Ray Davis,Ray,Davis,33,323,9.8,58,7
405,DJ Giddens,DJ,Giddens,29,323,11.1,61,3
408,Dominick Mazotti,Dominick,Mazotti,23,322,14,44,2
408,Koali Nishigaya,Koali,Nishigaya,39,322,8.3,29,1
408,Jordan Faison,Jordan,Faison,19,322,16.9,55,4
411,Isaiah Washington,Isaiah,Washington,25,321,12.8,42,1
411,Traylon Ray,Traylon,Ray,18,321,17.8,75,3
411,Donovan Brown,Donovan,Brown,27,321,11.9,86,1
414,Zachariah Branch,Zachariah,Branch,31,320,10.3,36,2
415,Jordan Kerley,Jordan,Kerley,18,319,17.7,59,2
415,Kacper Rutkiewicz,Kacper,Rutkiewicz,21,319,15.2,64,2
417,Anthony Sambucci,Anthony,Sambucci,21,318,15.1,64,5
418,Blake Bosma,Blake,Bosma,19,317,16.7,58,2
418,Harvey Broussard,Harvey,Broussard,24,317,13.2,51,2
420,Daejon Reynolds,Daejon,Reynolds,28,316,11.3,31,0
420,Jalen Bracey,Jalen,Bracey,31,316,10.2,45,1
422,Kaleo Ballungay,Kaleo,Ballungay,18,314,17.4,84,2
422,Kobe Prentice,Kobe,Prentice,18,314,17.4,79,2
424,Dino Tomlin,Dino,Tomlin,24,312,13,52,0
